trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
974,False,"{'a': 0.1, 'e': 0.5628223338863407}",20,0,15.499072550148187,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
975,False,"{'a': 0.1, 'e': 0.561995474715555}",30,0,-92.22258872417596,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
976,False,"{'a': 0.1, 'e': 0.5611680535493414}",25,9,-20.34346800274302,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
977,False,"{'a': 0.1, 'e': 0.5603400712151211}",30,0,-183.12147794176732,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
978,False,"{'a': 0.1, 'e': 0.5595115285408763}",30,0,-4.723225315860069,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
979,False,"{'a': 0.1, 'e': 0.5586824263551494}",25,0,-72.42502505835662,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
980,False,"{'a': 0.1, 'e': 0.5578527654870429}",20,2,-17.302387842959128,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
981,False,"{'a': 0.1, 'e': 0.5570225467662173}",20,4,-29.368542991660163,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 0}",1
982,False,"{'a': 0.1, 'e': 0.5561917710228914}",25,4,-117.40084551308534,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 2}",1
983,False,"{'a': 0.1, 'e': 0.5553604390878408}",25,13,7.689925715374067,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
984,False,"{'a': 0.1, 'e': 0.5545285517923974}",35,0,-20.736113653497256,"{0: 28, 1: 2, 2: 5, 3: 0, 4: 0}",0
985,False,"{'a': 0.1, 'e': 0.5536961099684484}",25,19,-0.08788296346765967,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
986,False,"{'a': 0.1, 'e': 0.5528631144484356}",30,7,-64.05037736617354,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 1}",1
987,False,"{'a': 0.1, 'e': 0.5520295660653544}",30,11,-62.41088567769839,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
988,False,"{'a': 0.1, 'e': 0.5511954656527531}",25,11,-54.146379645062694,"{0: 7, 1: 3, 2: 3, 3: 1, 4: 0}",1
989,False,"{'a': 0.1, 'e': 0.5503608140447321}",25,8,-25.7296287806116,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
990,False,"{'a': 0.1, 'e': 0.549525612075943}",20,0,-92.02252658693739,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
991,False,"{'a': 0.1, 'e': 0.5486898605815875}",25,0,-61.12172585432771,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
992,False,"{'a': 0.1, 'e': 0.5478535603974173}",25,0,-25.53039652163821,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
993,False,"{'a': 0.1, 'e': 0.5470167123597323}",25,7,-16.027915163202326,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
994,False,"{'a': 0.1, 'e': 0.5461793173053804}",20,8,-31.498132627737935,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
995,False,"{'a': 0.1, 'e': 0.5453413760717568}",20,6,-10.508929241203665,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
996,False,"{'a': 0.1, 'e': 0.5445028894968026}",30,13,-28.475181978006834,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
997,False,"{'a': 0.1, 'e': 0.5436638584190042}",35,2,-95.81335001806299,"{0: 25, 1: 1, 2: 5, 3: 0, 4: 2}",1
998,False,"{'a': 0.1, 'e': 0.5428242836773928}",35,23,-1.4578652591067813,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
999,False,"{'a': 0.1, 'e': 0.5419841661115429}",25,9,-8.264149069037456,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
1000,False,"{'a': 0.1, 'e': 0.5411435065615721}",20,0,-38.27618560646577,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
1001,False,"{'a': 0.1, 'e': 0.5403023058681398}",25,11,-42.1316048175623,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
1002,False,"{'a': 0.1, 'e': 0.5394605648724464}",20,14,12.025065395987417,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1003,False,"{'a': 0.1, 'e': 0.5386182844162335}",20,0,-67.92208542657613,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
1004,False,"{'a': 0.1, 'e': 0.5377754653417808}",25,10,-16.659637146887782,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
1005,False,"{'a': 0.1, 'e': 0.5369321084919078}",25,8,-10.566945614615763,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
1006,False,"{'a': 0.1, 'e': 0.5360882147099707}",20,6,4.549527160123585,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1007,False,"{'a': 0.1, 'e': 0.5352437848398639}",20,10,-25.646248150799448,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
1008,False,"{'a': 0.1, 'e': 0.5343988197260167}",20,0,-34.17152714694305,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
1009,False,"{'a': 0.1, 'e': 0.5335533202133944}",30,0,-124.77359974570183,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
1010,False,"{'a': 0.1, 'e': 0.5327072871474963}",25,8,-39.58460382707095,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
1011,False,"{'a': 0.1, 'e': 0.5318607213743555}",30,22,6.6579449953103484,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1012,False,"{'a': 0.1, 'e': 0.5310136237405375}",25,7,-58.07818086926396,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
1013,False,"{'a': 0.1, 'e': 0.5301659950931401}",25,14,-1.5514724130618207,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
1014,False,"{'a': 0.1, 'e': 0.5293178362797918}",25,0,-9.481204817294813,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",1
1015,False,"{'a': 0.1, 'e': 0.5284691481486513}",20,0,-33.52663349486415,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
1016,False,"{'a': 0.1, 'e': 0.5276199315484067}",20,0,-48.88612971654633,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
1017,False,"{'a': 0.1, 'e': 0.5267701873282746}",20,3,-97.91319966611238,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 3}",1
1018,False,"{'a': 0.1, 'e': 0.525919916337999}",20,13,1.23130456934997,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1019,False,"{'a': 0.1, 'e': 0.5250691194278508}",25,14,-7.091507399242747,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
1020,False,"{'a': 0.1, 'e': 0.524217797448627}",20,0,-74.34927673491062,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
1021,False,"{'a': 0.1, 'e': 0.5233659512516495}",20,2,-72.3106943225313,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
1022,False,"{'a': 0.1, 'e': 0.5225135816887643}",25,0,-15.782220188758837,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
1023,False,"{'a': 0.1, 'e': 0.521660689612341}",30,0,-12.760827749421697,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",1
1024,False,"{'a': 0.1, 'e': 0.5208072758752714}",20,0,-37.82926240160615,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
1025,False,"{'a': 0.1, 'e': 0.5199533413309696}",20,10,-75.56232531838485,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
1026,False,"{'a': 0.1, 'e': 0.5190988868333698}",25,0,-79.58998262870202,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
1027,False,"{'a': 0.1, 'e': 0.5182439132369261}",20,0,-48.20149826202422,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
1028,False,"{'a': 0.1, 'e': 0.5173884213966127}",20,0,-35.71170555235963,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
1029,False,"{'a': 0.1, 'e': 0.5165324121679207}",30,21,-4.557400822666344,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
1030,False,"{'a': 0.1, 'e': 0.5156758864068598}",30,7,-39.64977350547313,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
1031,False,"{'a': 0.1, 'e': 0.5148188449699553}",30,10,-60.321391731205814,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
1032,False,"{'a': 0.1, 'e': 0.513961288714249}",35,17,13.872120006907954,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
1033,False,"{'a': 0.1, 'e': 0.5131032184972965}",30,0,-32.02837024162357,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
